1,A,2
2,B,3
3,C,5
4,D,7
5,E,11
6,F,13
7,G,17
8,H,19
9,I,23
10,J,29
11,K,31
12,L,37
13,M,41
14,N,43
15,O,47
16,P,53
17,Q,59
18,R,61
19,S,67
20,T,71
21,U,73
22,V,79
23,W,83
24,X,89
25,Y,97
26,Z,101
27,A,103
28,B,107
29,C,109
30,D,113
31,E,127
32,F,131
33,G,137
34,H,139
35,I,149
36,J,151
37,K,157
38,L,163
39,M,167
40,N,173
41,O,179
42,P,181
43,Q,191
44,R,193
45,S,197
46,T,199
47,U,211
48,V,223
49,W,227
50,X,229
51,Y,233
52,Z,239
53,A,241
54,B,251
55,C,257
56,D,263
57,E,269
58,F,271
59,G,277
60,H,281
61,I,283
62,J,293
63,K,307
64,L,311
65,M,313
66,N,317
67,O,331
68,P,337
69,Q,347
70,R,349
71,S,353
72,T,359
73,U,367
74,V,373
75,W,379
76,X,383
77,Y,389
78,Z,397
79,A,401
80,B,409
81,C,419
82,D,421
83,E,431
84,F,433
85,G,439
86,H,443
87,I,449
88,J,457
89,K,461
90,L,463
91,M,467
92,N,479
93,O,487
94,P,491
95,Q,499
96,R,503
97,S,509
98,T,521
99,U,523
100,V,541
101,W,547
102,X,557
103,Y,563
104,Z,569
105,A,571
106,B,577
107,C,587
108,D,593
109,E,599
110,F,601
111,G,607
112,H,613
113,I,617
114,J,619
115,K,631
116,L,641
117,M,643
118,N,647
119,O,653
120,P,659
121,Q,661
122,R,673
123,S,677
124,T,683
125,U,691
126,V,701
127,W,709
128,X,719
129,Y,727
130,Z,733
131,A,739
132,B,743
133,C,751
134,D,757
135,E,761
136,F,769
137,G,773
138,H,787
139,I,797
140,J,809
141,K,811
142,L,821
143,M,823
144,N,827
145,O,829
146,P,839
147,Q,853
148,R,857
149,S,859
150,T,863
151,U,877
152,V,881
153,W,883
154,X,887
155,Y,907
156,Z,911
157,A,919
158,B,929
159,C,937
160,D,941
161,E,947
162,F,953
163,G,967
164,H,971
165,I,977
166,J,983
167,K,991
168,L,997
169,M,1009
170,N,1013
171,O,1019
172,P,1021
173,Q,1031
174,R,1033
175,S,1039
176,T,1049
177,U,1051
178,V,1061
179,W,1063
180,X,1069
181,Y,1087
182,Z,1091
183,A,1093
184,B,1097
185,C,1103
186,D,1109
187,E,1117
188,F,1123
189,G,1129
190,H,1151
191,I,1153
192,J,1163
193,K,1171
194,L,1181
195,M,1187
196,N,1193
197,O,1201
198,P,1213
199,Q,1217
200,R,1223
201,S,1229
202,T,1231
203,U,1237
204,V,1249
205,W,1259
206,X,1277
207,Y,1279
208,Z,1283
209,A,1289
210,B,1291
211,C,1297
212,D,1301
213,E,1303
214,F,1307
215,G,1319
216,H,1321
217,I,1327
218,J,1361
219,K,1367
220,L,1373
221,M,1381
222,N,1399
223,O,1409
224,P,1423
225,Q,1427
226,R,1429
227,S,1433
228,T,1439
229,U,1447
230,V,1451
231,W,1453
232,X,1459
233,Y,1471
234,Z,1481
235,A,1483
236,B,1487
237,C,1489
238,D,1493
239,E,1499
240,F,1511
241,G,1523
242,H,1531
243,I,1543
244,J,1549
245,K,1553
246,L,1559
247,M,1567
248,N,1571
249,O,1579
250,P,1583
251,Q,1597
252,R,1601
253,S,1607
254,T,1609
255,U,1613
256,V,1663
257,W,1667
258,X,1669
259,Y,1693
260,Z,1697
261,A,1699
262,B,1709
263,C,1721
264,D,1723
265,E,1733
266,F,1741
267,G,1747
268,H,1753
269,I,1759
270,J,1777
271,K,1783
272,L,1787
273,M,1789
274,N,1801
275,O,1811
276,P,1823
277,Q,1831
278,R,1847
279,S,1861
280,T,1867
281,U,1871
282,V,1873
283,W,1877
284,X,1879
285,Y,1889
286,Z,1901
287,A,1907
288,B,1913
289,C,1931
290,D,1933
291,E,1949
292,F,1951
293,G,1973
294,H,1979
295,I,1987
296,J,1993
297,K,1997
298,L,1999
299,M,2003
300,N,2011
301,O,2017
302,P,2027
303,Q,2029
304,R,2039
305,S,2053
306,T,2131
307,U,2137
308,V,2141
309,W,2143
310,X,2153
311,Y,2161
312,Z,2179
313,A,2203
314,B,2207
315,C,2213
316,D,2221
317,E,2237
318,F,2239
319,G,2243
320,H,2251
321,I,2267
322,J,2269
323,K,2273
324,L,2281
325,M,2287
326,N,2293
327,O,2297
328,P,2309
329,Q,2311
330,R,2333
331,S,2339
332,T,2341
333,U,2347
334,V,2351
335,W,2357
336,X,2371
337,Y,2377
338,Z,2381
339,A,2383
340,B,2389
341,C,2393
342,D,2399
343,E,2411
344,F,2417
345,G,2423
346,H,2437
347,I,2441
348,J,2447
349,K,2459
350,L,2467
351,M,2473
352,N,2477
353,O,2503
354,P,2521
355,Q,2531
356,R,2539
357,S,2543
358,T,2549
359,U,2551
360,V,2557
361,W,2579
362,X,2591
363,Y,2593
364,Z,2609
365,A,2617
366,B,2621
367,C,2633
368,D,2647
369,E,2657
370,F,2659
371,G,2663
372,H,2671
373,I,2677
374,J,2683
375,K,2687
376,L,2689
377,M,2693
378,N,2699
379,O,2707
380,P,2711
381,Q,2713
382,R,2719
383,S,2729
384,T,2731
385,U,2741
386,V,2749
387,W,2753
388,X,2767
389,Y,2777
390,Z,2789
391,A,2791
392,B,2797
393,C,2801
394,D,2803
395,E,2819
396,F,2833
397,G,2837
398,H,2843
399,I,2851
400,J,2857
401,K,2861
402,L,2879
403,M,2887
404,N,2897
405,O,2903
406,P,2909
407,Q,2917
408,R,2927
